Day;Alive animals;Corpses;Plants;Free fields for plants;Free fields;Famous Genotype; Corpses;Average alive animals energy;Average death lifespan
346;202;1854;388;2112;1938;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1854;17.91089;26.623516
347;200;1860;388;2112;1936;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1860;18.075;26.686022
348;196;1870;384;2116;1949;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1870;18.647959;26.747593
349;198;1875;391;2109;1941;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1875;18.10101;26.717867
350;196;1883;399;2101;1930;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1883;17.80102;26.727032
351;198;1891;392;2108;1946;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1891;17.873737;26.767847
352;200;1898;394;2106;1941;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1898;17.275;26.78135
353;200;1903;392;2108;1934;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1903;17.24;26.987389
354;201;1907;387;2113;1933;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1907;17.109453;27.018353
355;207;1909;381;2119;1938;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1909;16.874395;27.005238
356;205;1913;383;2117;1933;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1913;16.8;26.996342
357;203;1919;380;2120;1938;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1919;17.08867;27.025013
358;202;1924;375;2125;1946;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1924;17.376238;27.047817
359;199;1931;374;2126;1948;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1931;17.582914;27.01709
360;202;1932;369;2131;1955;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1932;17.574257;27.078157
361;205;1938;377;2123;1949;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1938;16.751219;27.109907
362;200;1945;364;2136;1955;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1945;17.795;27.1491
363;207;1947;367;2133;1958;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1947;16.922705;27.139189
364;202;1954;372;2128;1941;[0, 1, 5, 0, 2, 7, 0, 1, 2, 5];1954;16.925743;27.175026
